Date,V,TM,PG,PCRFY,INTC,KO,BRDCY,ABNB
30/07/2021,245.6221771,179.8399963,141.353714,12.13000011,53.00456238,56.16724014,22.02000046,144.0099945
02/08/2021,239.0327759,181.8800049,141.0058746,12.17000008,52.96509552,56.01951218,22,145.4900055
03/08/2021,236.3511505,185.9499969,143.0631104,12.31999969,53.34003067,56.05890656,21.94000053,145.6499939
04/08/2021,235.9324646,182.1799927,141.552475,12.18999958,53.18216324,55.25130844,21.93000031,147.3999939
05/08/2021,239.461441,182.8600006,141.6220551,12.43999958,53.51782608,55.64525986,21.98999977,150.3200073
06/08/2021,240.6477051,180.7200012,140.5387726,12.39999962,53.54761887,55.78314209,21.75,149.9900055
09/08/2021,239.2520905,180.5700073,141.3040161,12.40999985,53.67672348,55.79299545,21.81999969,149.4400024
10/08/2021,237.3281097,179.8999939,141.3934784,12.32999992,53.56748199,55.9407196,22.5,147.9499969
11/08/2021,234.3274841,181.3800049,141.7413025,12.5,53.76610184,55.8717804,23.37999916,148.1600037
12/08/2021,231.3826599,180.9400024,142.0692749,12.46000004,53.17024612,55.98011398,23.28000069,151.1499939
13/08/2021,232.2411499,181.3399963,142.7550354,12.39999962,53.12059021,56.36421967,23.31999969,152.7599945
16/08/2021,234.9463959,180.6000061,143.7488708,12.19999981,53.1007309,56.61043167,23.29999924,148.5700073
17/08/2021,234.1178589,178.1699982,143.9873962,12.10000038,52.32611465,56.41345978,23.11000061,143.8999939
18/08/2021,231.2229614,175.7299957,142.4171295,11.92000008,51.82956696,55.64525986,22.86000061,146.7400055
19/08/2021,231.1630707,168.5500031,144.0967102,11.40999985,52.0778389,55.99981308,22.72999954,142.6499939
20/08/2021,230.9534302,164.6600037,144.1960907,11.30000019,51.65081024,55.78314209,22.48999977,143.6999969
23/08/2021,233.7285461,168.7400055,143.4606628,11.51000023,52.8623848,55.58616638,22.88999939,146.7899933
24/08/2021,233.8283691,171.0200043,142.2978516,11.80000019,53.4383812,55.16267395,22.61000061,161.4199982
25/08/2021,232.1812592,173.75,141.7910004,11.69999981,53.4383812,55.22176743,22.62000084,160.3500061
26/08/2021,230.1148987,171.5899963,141.5425415,11.43999958,52.76307678,54.69978333,22.70000076,152.7299957
27/08/2021,232.2810974,173.8800049,141.4332275,11.75,53.51782608,54.80812073,22.80999947,154.1799927
30/08/2021,230.8236542,172.8600006,142.0493927,12.15999985,53.56748199,55.33010101,22.89999962,156.0200043
31/08/2021,228.697403,174.2299957,141.5127258,12,53.68665314,55.45813751,22.95999908,154.9900055
01/09/2021,229.7156067,176.2100067,142.9537964,12.18000031,53.29934311,55.83238602,23.09000015,156.5899963
02/09/2021,223.7860413,176.2400055,143.0631104,12.09000015,53.3589325,55.91117859,23.07999992,157.1999969
03/09/2021,224.7144165,179.2700043,143.1625061,12.52000046,53.14044952,55.8717804,23.86000061,158
07/09/2021,225.8723755,181.6399994,142.625824,12.93999958,53.27948761,54.82781601,24.21999931,165
08/09/2021,228.6874084,180,143.7091217,12.90999985,53.20003891,55.5664711,24.04999924,163.9299927
09/09/2021,227.0902252,180.0700073,143.1028748,12.93000031,53.03121185,55.01494217,23.97999954,166
10/09/2021,224.5147705,176.3000031,143.2420197,12.97999954,53.46817398,54.76872635,23.96999931,165.1999969
13/09/2021,224.23526,178.4600067,144.7824554,13.27999973,54.61023331,55.22176743,24.31999969,160.3200073
14/09/2021,222.6380615,179.3899994,144.5339966,13.19999981,54.14347839,55.26145554,24.04000092,163.3000031
15/09/2021,223.416687,181.7100067,144.2259064,13.28999996,54.73933029,55.44999695,24.13999939,166.3699951
16/09/2021,223.9357758,181.9400024,143.2221375,13.17000008,54.45133591,54.92407227,24.38999939,168.1499939
17/09/2021,221.360321,180.9499969,143.4507141,12.88000011,53.88526917,54.0210762,24,166.5899963
